gene,0,1,2,3,4,5,6,7,8,9
Xpo6,-0.00020054587439889498,-0.0003990806536476019,2.6988289903468195e-05,-0.0013842820647873193,-0.000187340044591231,-0.0004880395737090919,-0.0007678607040478691,0.0005005742320228025,3.4364514970745e-05,-0.00014884868795980008
Tfe3,-0.000207156497780566,-0.00010728049075380332,-2.739591102995991e-05,-0.0007512788825990314,-6.617066954587539e-05,-0.0003599620611557397,-0.0010073472775306376,-0.00023721252797045725,-0.000310228304064461,-0.0010974965283969864
Axin2,-9.783934757339176e-05,-0.000324655491248428,0.00028570158695312534,-0.0010121790499801693,-0.00010636437718229598,-0.0005215547231653927,-0.0009270597230246615,-0.0007140409647294127,-0.0007917941204078832,-0.0009726044791781983
Brat1,-0.00014360026493755702,-0.00021655528214771603,9.052155493619293e-05,-0.0005343934761119798,-0.00017702408764610003,-0.0004615547446430378,-0.001029355742618536,-0.0005172589755798678,-0.0006256496437180367,-0.0008308810943835544
Gna12,-0.00016013089714551491,-0.000535308068891951,0.0003269279630914383,0.0010220253083451554,-0.00026189460435106505,-0.0029005529376042523,-0.0027475706532011143,-0.003050700866949951,0.003452948449550905,0.0003250040021037302
Slc22a18,-0.0005005051907575079,7.768929981921943e-05,-0.0012288880512801928,-0.0008993041753271609,-7.207855095575859e-05,-6.976171657993193e-05,0.0006494820961608983,0.000578247652923926,0.0007690617369848402,-0.0009390465127781698
Igsf5,-0.000144177901708324,0.00010136645807223256,-0.00044691173349797577,0.00022077328215724213,-0.00013087465610371393,-0.0006002933148125745,-0.00027606078443523157,-0.0012660952942172682,-0.0013685707955381284,1.597120125691975e-05
Dlat,0.000901333243316782,-0.00019515761489683695,-0.0013714377021308642,-0.0026746003886264874,-0.00014933595544536901,0.0009764514863085548,-0.0005524448664223087,-0.000587275076937813,0.00015549531929930557,1.9155413450891577e-05
Sdhd,0.0010412955511809679,0.000518377353550271,-0.003390488533759261,0.006611128027087726,0.00019239691979905792,-0.0011430482211730927,0.005730084938285187,-0.011066948744305223,-0.002624321249596782,0.003714213838214472
Ccnd2,8.407588928321406e-07,0.0007539636289798155,0.00011373664455893847,-0.0006808577192375044,2.1208646570680044e-05,-0.00018692126715846855,-0.0018876068262084474,-0.0020635948467024098,-0.000343271641446741,-0.0008492775851653979
Gpr107,-0.00013483696521261,-0.00013735439421558605,-0.00011237958929464862,-8.913312806735081e-05,-0.00015103271431648996,-0.0005532059370121276,-0.0010051814917256426,-0.00011657046111316118,-0.0006219929334270084,-0.00041414842957667364
Lhx2,-0.00017973682311171895,-7.742987559361128e-05,0.00010646171365814339,-0.00029688854844885256,-0.00014044543252939896,-0.0003800973766260808,-0.0011355756779521102,-0.000668117733091452,-0.0008667789345050064,-0.0009856612483579962
Gmpr,-0.00013701977068864699,-3.583443094559673e-05,0.00012275597646653195,-0.000224051567998303,-0.000134620003602988,-0.00042834199380392755,-0.0012116167737632013,-0.0006311989723387884,-0.0009135521544384449,-0.001002870961908051
Mid2,-0.00010693920171976306,-8.005990614177914e-05,-7.175203184212202e-06,-0.00047901366765619897,-0.00015254921763493802,-0.0004254896564061725,-0.00107245010291768,-0.0005628135289986706,-0.0008772974449927118,-0.0006454158989894416
Trim25,-0.000195764240377478,-0.0013923408400816194,-0.00051892013497221,-0.0023058696543829934,-0.0006483161035375515,-0.0032561545357308787,0.0009317002828944784,0.003372850969213307,0.000968641210567946,0.002917123143820359
Dgke,-0.00016172409891536502,-5.390837457193262e-05,0.00015000046454002959,-0.00014304389943826137,-0.000144709051897859,-0.00036423590311978455,-0.0011358787299092384,-0.0004167138609457228,-0.0009753583582453115,-0.000952639533530283
Scpep1,5.88276352126381e-05,0.00013075889866183798,-0.0006923275092181738,-0.0009525126404668699,2.403656678851922e-05,-0.0008092187484372951,-0.0011834327894200843,0.0018779151405584047,9.22318544550833e-05,-0.00034585359592644
Mnt,-0.00017722355016525012,-0.00024256105907651204,0.00011897775822729819,-0.00023944192701637565,-0.000102311424099217,-0.0004988959897749653,-0.0012105433640111987,-0.00030176952059206226,-0.000514781606382022,-0.0011289813655572794
Itgb2,-6.417208685205335e-05,3.262719739096831e-06,6.407420651671036e-05,-0.00015618674621746664,-0.000157366099908394,-0.0007479577888309162,-0.001305706618570823,-0.00022582548138141279,-0.000575679260569705,-0.0007789284893755906
Tpd52l1,-8.531919548071862e-05,1.994048837728211e-05,-2.4156926208956233e-06,4.19880407073594e-05,-0.00014026627725694703,-0.00030358258165056934,-0.0009634321991422216,-0.0008558952716312398,-0.0008373380693125499,-0.001014784300044547
Pemt,0.0008153068190170851,-0.002617495727006972,-0.00026524259481828095,0.0007421305170021616,0.0002630178947943149,-0.0010129909039662305,0.007781803007462335,-0.0003072377694981566,0.0006822872658783105,-7.435243458315543e-05
Cdh1,-0.0002503905133764161,0.0013025489589994033,0.0008951323736831859,-0.0008587966700322025,-9.514385756762219e-05,0.0007504193196719174,-0.0017239708788531333,0.0023222665108229945,-0.0013541284799957606,-0.00032778772732649803
Bcl6b,-5.3660424554994484e-05,-3.2308851035018664e-05,5.959114879770012e-05,-0.000141785841915027,-0.00017635440181048903,-0.00063354091532525,-0.0010886202801832355,-0.00048268312675845754,-0.0008473443561035267,-0.0008911147640392508
Alox12,-0.00012355517116587002,-1.791265338224667e-05,0.00012561385898473908,-0.00018431481218572472,-0.000167734072372514,-0.00045956735945628865,-0.001101906371118631,-0.0005200713745054066,-0.0009356431641558349,-0.0009457021606896701
